listing_id,vote_sentiment_positive_count,vote_sentiment_negative_count,vote_sentiment_positive_percent,vote_sentiment_positivity,high_conf_sentiment_positive_count,high_conf_sentiment_negative_count,high_conf_sentiment_positive_percent,high_conf_sentiment_positivity,long_conf_sentiment_positive_count,long_conf_sentiment_negative_count,long_conf_sentiment_positive_percent,long_conf_sentiment_positivity,classified_sentiment_positive_count,classified_sentiment_negative_count,classified_sentiment_positive_percent,classified_sentiment_positivity,latitude,longitude,review_scores_rating,host_name,listing_url,name,accommodates,price,property_type,room_type,number_of_reviews,minimum_nights,maximum_nights,
4886987,2,,1,1,2,,1,1,2,,1,1,2,,1,1,30.233,-97.7662,100,Benjamin,https://www.airbnb.com/rooms/4886987,Room in Modern Home in Soco SXSW,1,125,House,Private room,2,30,1125,
5372075,112,139,0.446215139,0,200,50,0.8,1,168,83,0.669322709,0,178,72,0.712,1,30.2276,-97.7367,91,Capitan,https://www.airbnb.com/rooms/5372075,Sliding Door,4,72,Loft,Entire home/apt,251,1,14,
5492366,6,3,0.666666667,0,7,2,0.777777778,1,4,5,0.444444444,0,4,5,0.444444444,0,30.2559,-97.7534,93,Jason,https://www.airbnb.com/rooms/5492366,2 bed/bath sleeps 6,6,400,Apartment,Entire home/apt,9,1,1125,
6449683,19,20,0.487179487,0,31,8,0.794871795,1,24,15,0.615384615,0,27,12,0.692307692,0,30.2304,-97.8773,100,Laura,https://www.airbnb.com/rooms/6449683,Welcome Home,8,250,House,Entire home/apt,41,2,180,
8195061,4,1,0.8,1,5,,1,1,2,3,0.4,0,4,1,0.8,1,30.3209,-97.7199,100,Alice,https://www.airbnb.com/rooms/8195061,Short + Long Term - Central Austin - Green room,1,43,House,Private room,5,30,1125,
8689127,1,,1,1,1,,1,1,1,,1,1,1,,1,1,30.3669,-97.6532,100,Chris,https://www.airbnb.com/rooms/8689127,Austin,2,200,House,Private room,1,1,1125,
8882372,1,,1,1,1,,1,1,1,,1,1,1,,1,1,30.2379,-97.716,80,Guadalupe,https://www.airbnb.com/rooms/8882372,Private Room and Bath,2,35,Apartment,Private room,1,1,1125,
10826186,21,11,0.65625,0,25,7,0.78125,1,16,16,0.5,0,18,14,0.5625,0,30.1977,-97.818,99,Pepe,https://www.airbnb.com/rooms/10826186,Cozy room/house!,2,60,House,Private room,32,2,1125,
11601524,25,22,0.531914894,0,38,9,0.808510638,1,32,15,0.680851064,0,35,12,0.744680851,1,30.2736,-97.7221,100,Chad,https://www.airbnb.com/rooms/11601524,Rooms in East Austin,4,165,House,Private room,47,2,10,
11828602,,1,0,0,,1,0,0,,1,0,0,,1,0,0,30.2302,-97.7361,100,Namrata,https://www.airbnb.com/rooms/11828602,South by southwest-Single room rent with amenities,2,85,Apartment,Private room,1,2,14,
14745824,48,40,0.545454545,0,77,11,0.875,1,56,32,0.636363636,0,67,21,0.761363636,1,30.2798,-97.6765,95,Aleisha,https://www.airbnb.com/rooms/14745824,Cute and Cozy Vintage Austin Airstream,4,68,Camper/RV,Entire home/apt,88,1,1124,
14935370,2,13,0.133333333,0,12,3,0.8,1,11,4,0.733333333,1,10,5,0.666666667,0,30.2497,-97.7682,100,Elizabeth,https://www.airbnb.com/rooms/14935370,South Lamar 1B - less than a mile to Zilker park!,4,105,Apartment,Entire home/apt,17,2,1125,
14984942,12,11,0.52173913,0,21,2,0.913043478,1,15,8,0.652173913,0,16,7,0.695652174,0,30.3279,-97.7169,99,Stephanie,https://www.airbnb.com/rooms/14984942,N. Cntrl ATX 3 mi Metro Rail! 6mi dwtn. TLC Owner.,6,275,Townhouse,Entire home/apt,23,2,30,
15202204,97,151,0.391129032,0,195,53,0.786290323,1,170,78,0.685483871,0,177,71,0.713709677,1,30.2256,-97.7545,97,Bryan,https://www.airbnb.com/rooms/15202204,Beauty by South Congress! 2 Bed 1 Bath Townhome,6,149,Townhouse,Entire home/apt,248,1,30,
15985678,9,9,0.5,0,16,2,0.888888889,1,12,6,0.666666667,0,14,4,0.777777778,1,30.3111,-97.6709,100,Cassie,https://www.airbnb.com/rooms/15985678,Suite with a Creek  :),4,85,Guest suite,Entire home/apt,18,1,1125,
17073883,48,55,0.466019417,0,86,17,0.834951456,1,70,33,0.67961165,0,76,26,0.745098039,1,30.261,-97.7372,97,Locale,https://www.airbnb.com/rooms/17073883,Rainey Street | 2BR Balcony Suite by Locale,5,175,Serviced apartment,Hotel room,103,2,1125,
17178125,4,7,0.363636364,0,7,4,0.636363636,0,7,4,0.636363636,0,6,5,0.545454545,0,30.2502,-97.7541,98,Murray,https://www.airbnb.com/rooms/17178125,Quiet private space walkable to downtown or SoCo m,2,72,House,Private room,11,7,120,
17541483,1,,1,1,1,,1,1,1,,1,1,1,,1,1,30.2585,-97.7506,100,Jasmine,https://www.airbnb.com/rooms/17541483,"Perfect for SXSW. 1x1, easy walk to DT!",2,75,Apartment,Entire home/apt,1,2,1125,
17557972,21,29,0.42,0,41,9,0.82,1,34,16,0.68,0,35,15,0.7,0,30.2333,-97.7861,97,David,https://www.airbnb.com/rooms/17557972,Eclectic SXSW Relaxing Bungalow,6,344,House,Entire home/apt,50,1,1125,
17895096,42,26,0.617647059,0,55,13,0.808823529,1,43,25,0.632352941,0,47,21,0.691176471,0,30.2828,-97.6474,98,Gary,https://www.airbnb.com/rooms/17895096,Entire Floor - Modern Home - Austin Texas!,4,74,House,Private room,68,1,1125,
18793942,3,5,0.375,0,7,1,0.875,1,7,1,0.875,1,8,,1,1,30.2942,-97.7459,85,Chris,https://www.airbnb.com/rooms/18793942,"Cozy 1BD, Walkable, Heart of Austin",2,29,House,Private room,9,1,1125,
20592315,5,2,0.714285714,1,7,,1,1,3,4,0.428571429,0,5,2,0.714285714,1,30.2706,-97.7536,91,Megan,https://www.airbnb.com/rooms/20592315,Havana Nights in The Heart of Downtown Austin!,6,300,Condominium,Entire home/apt,7,2,21,
20887930,38,43,0.469135802,0,68,13,0.839506173,1,56,25,0.691358025,0,62,18,0.775,1,30.1912,-97.7409,96,Todd,https://www.airbnb.com/rooms/20887930,Eclectic Southeast Austin Garage Apartment,4,100,Guest suite,Entire home/apt,81,1,7,
21152981,3,1,0.75,1,4,,1,1,2,2,0.5,0,3,1,0.75,1,30.2378,-97.7486,95,Tony,https://www.airbnb.com/rooms/21152981,A Room At Terrace,2,80,Apartment,Private room,4,1,4,
21309141,33,30,0.523809524,0,54,9,0.857142857,1,52,11,0.825396825,1,50,13,0.793650794,1,30.2755,-97.7131,98,Garrett,https://www.airbnb.com/rooms/21309141,Chill on the Covered Porch at a Bright East Austin Gem,6,84,House,Entire home/apt,63,1,29,
22598277,8,8,0.5,0,14,2,0.875,1,8,8,0.5,0,10,5,0.666666667,0,30.3108,-97.7245,98,Rhianon,https://www.airbnb.com/rooms/22598277,1/1 whole duplex historic Hyde Park,4,139,House,Entire home/apt,16,1,21,
22688708,10,15,0.4,0,18,6,0.75,1,15,10,0.6,0,16,8,0.666666667,0,30.3198,-97.7233,95,Kris,https://www.airbnb.com/rooms/22688708,Urban Retreat in Austin's Most Desired Area,8,95,House,Private room,25,1,10,
23438631,4,2,0.666666667,0,6,,1,1,4,2,0.666666667,0,4,2,0.666666667,0,30.2318,-97.7769,100,Julie,https://www.airbnb.com/rooms/23438631,Paw-radise!,2,50,Apartment,Private room,6,1,1125,
23627322,1,1,0.5,0,2,,1,1,2,,1,1,2,,1,1,30.2826,-97.6924,100,Amanda,https://www.airbnb.com/rooms/23627322,Sweet Spacious East Austin Home,2,60,House,Private room,2,2,7,
23877867,8,8,0.5,0,12,4,0.75,1,8,8,0.5,0,9,6,0.6,0,30.2251,-97.7964,90,Diya,https://www.airbnb.com/rooms/23877867,Designer master bedroom & bath 10 mins to DT,4,65,House,Private room,17,1,1125,
24855274,1,7,0.125,0,8,,1,1,7,1,0.875,1,8,,1,1,30.2498,-97.7561,95,Outsite,https://www.airbnb.com/rooms/24855274,Beautifully Designed Private Room in Austin,2,79,House,Private room,9,2,60,
25607637,1,5,0.166666667,0,3,3,0.5,0,3,3,0.5,0,2,4,0.333333333,0,30.2523,-97.7271,93,TurnKey Vacation Rentals,https://www.airbnb.com/rooms/25607637,Walk to Lady Bird Lake! Sleek & Modern East Austin 2BR,4,79,House,Entire home/apt,6,2,1125,
27828494,9,11,0.45,0,15,5,0.75,1,12,8,0.6,0,14,5,0.736842105,1,30.2764,-97.686,97,Daniel,https://www.airbnb.com/rooms/27828494,Cozy Eastside Bungalow,6,280,Bungalow,Entire home/apt,20,1,1125,
27984195,25,48,0.342465753,0,47,25,0.652777778,0,42,31,0.575342466,0,43,29,0.597222222,0,30.2691,-97.7562,95,Locale,https://www.airbnb.com/rooms/27984195,Downtown ATX | Stylish 2BR Suite by Locale,6,175,Serviced apartment,Hotel room,73,1,1125,
28253567,3,6,0.333333333,0,5,4,0.555555556,0,4,5,0.444444444,0,4,5,0.444444444,0,30.2783,-97.7181,98,Alejandro,https://www.airbnb.com/rooms/28253567,Private room-East Austin,2,75,House,Private room,9,2,7,
28719595,17,39,0.303571429,0,36,16,0.692307692,0,30,26,0.535714286,0,35,17,0.673076923,0,30.3116,-97.705,94,Nathan,https://www.airbnb.com/rooms/28719595,Plush King Bedrm~9min to 6th coffee  &Brkfst Incl!,2,34,Apartment,Private room,56,1,1125,
30757696,,2,0,0,2,,1,1,1,1,0.5,0,1,1,0.5,0,30.2709,-97.748,100,James,https://www.airbnb.com/rooms/30757696,SXSW Interactive // Luxury Downtown Condo 4,4,325,Condominium,Entire home/apt,2,6,6,
31493570,27,28,0.490909091,0,44,11,0.8,1,43,12,0.781818182,1,46,9,0.836363636,1,30.2607,-97.7371,98,David,https://www.airbnb.com/rooms/31493570,Luxury Skyline Oasis | Rooftop Pool,5,400,Condominium,Entire home/apt,55,1,1125,
31821284,5,10,0.333333333,0,14,1,0.933333333,1,13,2,0.866666667,1,15,,1,1,30.278,-97.7605,100,Kirsty,https://www.airbnb.com/rooms/31821284,Clarksville beauty,4,168,Condominium,Entire home/apt,15,2,60,
32388704,19,24,0.441860465,0,33,10,0.76744186,1,33,10,0.76744186,1,33,10,0.76744186,1,30.2843,-97.7156,98,Kevin,https://www.airbnb.com/rooms/32388704,Homey Apartment with Huge Pool Near DT & UT!,8,300,Apartment,Entire home/apt,43,1,365,
32491021,1,7,0.125,0,5,3,0.625,0,5,3,0.625,0,5,3,0.625,0,30.2288,-97.7634,95,Yuli,https://www.airbnb.com/rooms/32491021,Charming  Austin Apt,2,125,Apartment,Entire home/apt,8,1,1125,
32645458,3,5,0.375,0,5,3,0.625,0,3,5,0.375,0,4,4,0.5,0,30.2789,-97.7519,95,Carlos,https://www.airbnb.com/rooms/32645458,NEW! Beautiful Downtown Home Perfect for Groups,6,138,House,Entire home/apt,8,2,1125,
32915500,4,4,0.5,0,6,2,0.75,1,5,3,0.625,0,5,3,0.625,0,30.252,-97.7495,100,Dee,https://www.airbnb.com/rooms/32915500,SoCo Bungalow,2,109,Bungalow,Entire home/apt,8,1,1125,
33419106,1,,1,1,1,,1,1,,1,0,0,1,,1,1,30.2721,-97.747,100,Brooke,https://www.airbnb.com/rooms/33419106,Wyndham Austin- 1 bdrm condo,4,189,Condominium,Entire home/apt,1,2,7,
34338577,6,4,0.6,0,8,2,0.8,1,8,2,0.8,1,9,1,0.9,1,30.2941,-97.7666,100,Jim,https://www.airbnb.com/rooms/34338577,Cozy Tarrytown Carriage House,2,70,Guesthouse,Entire home/apt,10,4,1125,
35156828,9,4,0.692307692,0,12,1,0.923076923,1,10,3,0.769230769,1,12,1,0.923076923,1,30.2662,-97.6983,100,Brittaney,https://www.airbnb.com/rooms/35156828,Brand New Cozy & Bright East Austin Casita,4,165,House,Entire home/apt,13,1,1125,
35870872,,1,0,0,,1,0,0,,1,0,0,,1,0,0,30.2721,-97.744,100,Gina,https://www.airbnb.com/rooms/35870872,Sleek Downtown Austin Condo ~Pool~Gym,4,109,Condominium,Entire home/apt,1,1,30,
1704436,60,57,0.512820513,0,101,16,0.863247863,1,77,40,0.658119658,0,85,32,0.726495726,1,30.2483,-97.7466,98,Brunson,https://www.airbnb.com/rooms/1704436,Travis Heights Gem,4,175,Bungalow,Entire home/apt,117,2,120,
2092733,61,70,0.465648855,0,106,25,0.809160305,1,95,36,0.72519084,1,102,29,0.778625954,1,30.2402,-97.7419,99,Dani,https://www.airbnb.com/rooms/2092733,Immaculate Mid-Century with Yard in Travis Heights,5,550,House,Entire home/apt,131,1,365,
5319080,1,1,0.5,0,2,,1,1,1,1,0.5,0,1,1,0.5,0,30.4597,-97.8009,80,Lindsey,https://www.airbnb.com/rooms/5319080,Come stay on Mellow Meadows,4,170,Apartment,Entire home/apt,2,1,1125,
5615072,12,7,0.631578947,0,16,3,0.842105263,1,13,6,0.684210526,0,15,4,0.789473684,1,30.245,-97.7394,98,Jay,https://www.airbnb.com/rooms/5615072,Chelsea Cottage-A - 2/1 near SOCO!,4,150,House,Entire home/apt,22,2,1125,
8743900,3,1,0.75,1,4,,1,1,3,1,0.75,1,3,1,0.75,1,30.2317,-97.7323,85,Destyni,https://www.airbnb.com/rooms/8743900,"2 miles from dt, bike to boardwalk!",4,105,Apartment,Entire home/apt,5,2,1125,
11610023,1,,1,1,1,,1,1,,1,0,0,1,,1,1,30.2561,-97.7156,100,Winston,https://www.airbnb.com/rooms/11610023,Backhouse Apartment ready for SXSW,5,450,House,Private room,1,1,1125,
11655929,3,3,0.5,0,5,1,0.833333333,1,4,2,0.666666667,0,4,2,0.666666667,0,30.176,-97.8693,97,Laurel,https://www.airbnb.com/rooms/11655929,Luxury Estate on 3 acres,15,1200,Villa,Entire home/apt,7,3,5,
13914938,5,2,0.714285714,1,6,1,0.857142857,1,3,4,0.428571429,0,4,3,0.571428571,0,30.2692,-97.698,94,Cari,https://www.airbnb.com/rooms/13914938,Tree House Apartment,4,85,Treehouse,Entire home/apt,7,1,3,
14069621,8,,1,1,7,1,0.875,1,5,3,0.625,0,5,3,0.625,0,30.2524,-97.7616,98,Jessica,https://www.airbnb.com/rooms/14069621,Charming Bungalow in Bouldin Creek,6,199,House,Entire home/apt,11,2,1125,
15008897,34,31,0.523076923,0,54,11,0.830769231,1,46,19,0.707692308,1,49,16,0.753846154,1,30.1652,-97.768,99,Linda,https://www.airbnb.com/rooms/15008897,Shipping Container Elevated Tiny House in S Austin,2,79,Tiny house,Entire home/apt,65,2,1125,
15010098,18,23,0.43902439,0,34,7,0.829268293,1,30,11,0.731707317,1,30,11,0.731707317,1,30.253,-97.7918,99,Amy,https://www.airbnb.com/rooms/15010098,Barton Hills Cozy Studio near Zilker Park,2,125,Guest suite,Entire home/apt,41,2,1125,
15873822,2,1,0.666666667,0,3,,1,1,2,1,0.666666667,0,2,1,0.666666667,0,30.2646,-97.7286,93,Marta,https://www.airbnb.com/rooms/15873822,Perfect East 6th Downtown Loft,5,190,Loft,Entire home/apt,3,2,1125,
16894177,18,15,0.545454545,0,27,6,0.818181818,1,27,6,0.818181818,1,26,7,0.787878788,1,30.2321,-98.0125,97,Dallas,https://www.airbnb.com/rooms/16894177,Austin/Dripping Springs Hill Country Tranquility,10,195,House,Entire home/apt,33,2,1125,
20054877,33,67,0.33,0,81,19,0.81,1,79,21,0.79,1,79,20,0.797979798,1,30.2424,-97.7739,94,Corbin & Brittany,https://www.airbnb.com/rooms/20054877,"Charming, Modern Townhome in Perfect Location!",5,119,Townhouse,Entire home/apt,100,1,365,
21098272,1,,1,1,1,,1,1,,1,0,0,,1,0,0,30.255,-97.7659,80,Kelly,https://www.airbnb.com/rooms/21098272,ACL Accommodation,5,600,Condominium,Entire home/apt,2,1,3,
21175616,17,16,0.515151515,0,25,8,0.757575758,1,22,11,0.666666667,0,22,11,0.666666667,0,30.2268,-97.8091,97,Nicole,https://www.airbnb.com/rooms/21175616,Private Suite in a Beautiful Home,1,32,House,Private room,33,2,1125,
21368263,24,23,0.510638298,0,41,6,0.872340426,1,34,13,0.723404255,1,35,12,0.744680851,1,30.2936,-97.6995,97,Xavier,https://www.airbnb.com/rooms/21368263,Central Private Room/bath with Balcony @ Mueller,3,49,House,Private room,47,1,7,
21624252,8,3,0.727272727,1,10,1,0.909090909,1,9,2,0.818181818,1,11,,1,1,30.4194,-97.664,98,Laura,https://www.airbnb.com/rooms/21624252,RUSTIC ROOST ~ N AUSTIN ATX,1,35,House,Private room,11,14,1125,
22742595,12,27,0.307692308,0,24,15,0.615384615,0,22,17,0.564102564,0,21,18,0.538461538,0,30.4087,-97.6977,96,Juan,https://www.airbnb.com/rooms/22742595,Amazing 2Br2Bt Condo near The Domain,4,95,Apartment,Entire home/apt,39,2,30,
23595277,,1,0,0,1,,1,1,1,,1,1,1,,1,1,30.2489,-97.7448,100,Alex,https://www.airbnb.com/rooms/23595277,Travis Heights Gem - Steps from South Congress,2,110,Apartment,Entire home/apt,2,2,1125,
26281742,3,5,0.375,0,5,3,0.625,0,2,6,0.25,0,4,4,0.5,0,30.2606,-97.7167,88,Stay Alfred,https://www.airbnb.com/rooms/26281742,Gorgeous Stay Alfred at E6,4,1112,Apartment,Entire home/apt,8,1,365,
26667234,5,17,0.227272727,0,11,11,0.5,0,10,12,0.454545455,0,11,11,0.5,0,30.239,-97.7231,95,Eric,https://www.airbnb.com/rooms/26667234,BEST FOR 1-6 PEOPLE,6,45,Apartment,Entire home/apt,22,1,1125,
28736892,1,1,0.5,0,2,,1,1,1,1,0.5,0,1,1,0.5,0,30.281,-97.7574,90,Aja,https://www.airbnb.com/rooms/28736892,Cozy in Clarksville - 2 miles from ACL venue,5,200,Apartment,Entire home/apt,2,2,1125,
30017549,12,13,0.48,0,19,6,0.76,1,14,11,0.56,0,17,8,0.68,0,30.2263,-97.7888,99,Denise,https://www.airbnb.com/rooms/30017549,Beautiful Artsy Private Room in South Austin,2,44,House,Private room,25,1,7,
30886279,8,10,0.444444444,0,12,6,0.666666667,0,8,10,0.444444444,0,8,10,0.444444444,0,30.2283,-97.7952,97,Daniel,https://www.airbnb.com/rooms/30886279,Private Studio in South Austin,2,80,Apartment,Entire home/apt,18,4,31,
32045094,4,3,0.571428571,0,7,,1,1,5,2,0.714285714,1,5,2,0.714285714,1,30.2557,-97.7354,100,Ian,https://www.airbnb.com/rooms/32045094,"The Lookout, 2 blocks from Rainey St.",4,175,Guesthouse,Entire home/apt,7,3,1125,
32083727,3,1,0.75,1,3,1,0.75,1,,4,0,0,,4,0,0,30.2673,-97.7038,100,Rachel,https://www.airbnb.com/rooms/32083727,ACL less than 4 miles away- Eastside modern home,8,500,House,Entire home/apt,5,2,1125,
32488705,1,,1,1,1,,1,1,1,,1,1,1,,1,1,30.3051,-97.7187,100,Dallas,https://www.airbnb.com/rooms/32488705,(NEW) FUN BUNgalow 7 min north of downtown & UT,6,420,House,Entire home/apt,1,3,1125,
32549873,1,3,0.25,0,4,,1,1,4,,1,1,4,,1,1,30.2649,-97.8048,100,Kathleen,https://www.airbnb.com/rooms/32549873,Mid-Mod House Minutes from Downtown,8,500,House,Entire home/apt,4,2,7,
32594661,5,6,0.454545455,0,10,1,0.909090909,1,7,4,0.636363636,0,8,3,0.727272727,1,30.2243,-97.6998,100,Marisol,https://www.airbnb.com/rooms/32594661,Perfect Room for FAMILIES/ GIRLS TRIP/ SXSW/ACL,5,100,Townhouse,Private room,11,2,14,
32918007,3,3,0.5,0,6,,1,1,6,,1,1,6,,1,1,30.2567,-97.6948,83,Steph,https://www.airbnb.com/rooms/32918007,Magical Urban Farm Avion,3,220,Camper/RV,Entire home/apt,7,2,30,
32921018,4,13,0.235294118,0,12,5,0.705882353,1,12,5,0.705882353,1,11,6,0.647058824,0,30.3005,-97.7601,100,Therese,https://www.airbnb.com/rooms/32921018,Tarrytown Retreat,8,500,House,Entire home/apt,17,1,1125,
36802339,3,4,0.428571429,0,7,,1,1,6,1,0.857142857,1,7,,1,1,30.2748,-97.7654,94,WanderJaunt,https://www.airbnb.com/rooms/36802339,Relaxing 1BR | Downtown Austin #347 by WanderJaunt,4,10000,Apartment,Entire home/apt,7,1,1125,
38122455,1,,1,1,1,,1,1,,1,0,0,1,,1,1,30.3965,-97.7278,100,John,https://www.airbnb.com/rooms/38122455,Visiting Austin? Book with us!,6,85,Apartment,Entire home/apt,1,1,1125,
685448,25,30,0.454545455,0,42,12,0.777777778,1,33,22,0.6,0,38,16,0.703703704,1,30.2108,-97.7713,98,Jim O',https://www.airbnb.com/rooms/685448,EZ Camping = SxSAustin2,16,14,Campsite,Entire home/apt,55,2,7,
701159,5,2,0.714285714,1,6,1,0.857142857,1,5,2,0.714285714,1,6,1,0.857142857,1,30.2812,-97.7607,93,Sabrina,https://www.airbnb.com/rooms/701159,Boutique Condo in Historic Clarksville- near SXSW,2,225,Condominium,Entire home/apt,9,2,5,
727662,25,17,0.595238095,0,38,4,0.904761905,1,34,8,0.80952381,1,34,8,0.80952381,1,30.239,-97.7452,97,Lisa,https://www.airbnb.com/rooms/727662,Amazing SoCo 2 bedroom house w/ giant fenced yard,6,218,Bungalow,Entire home/apt,42,2,180,
996332,127,59,0.682795699,0,166,20,0.892473118,1,131,55,0.704301075,1,145,41,0.779569892,1,30.2497,-97.7559,99,Susanna,https://www.airbnb.com/rooms/996332,Carbon Neutral Oasis in Austin,2,95,House,Private room,187,2,14,
5551188,1,2,0.333333333,0,2,1,0.666666667,0,2,1,0.666666667,0,1,2,0.333333333,0,30.3199,-97.7308,100,Madeleine,https://www.airbnb.com/rooms/5551188,SXSW Immediate Private Apartment,7,350,Apartment,Entire home/apt,3,1,1125,
6051557,159,197,0.446629213,0,283,73,0.79494382,1,252,104,0.707865169,1,266,90,0.747191011,1,30.2255,-97.7411,99,Jason,https://www.airbnb.com/rooms/6051557,Eclectic Artist's Condo with Fun Vintage Decor,4,134,Condominium,Entire home/apt,356,1,1125,
7581865,2,,1,1,2,,1,1,,2,0,0,2,,1,1,30.2607,-97.7721,100,Charlene,https://www.airbnb.com/rooms/7581865,ACL Rental,4,175,Condominium,Entire home/apt,2,3,10,
8980721,7,3,0.7,0,8,2,0.8,1,4,6,0.4,0,5,5,0.5,0,30.4405,-97.78,98,Michael,https://www.airbnb.com/rooms/8980721,NW Austin 2bed/2bath Great Location,5,97,Apartment,Entire home/apt,13,3,60,
12549235,85,68,0.555555556,0,120,33,0.784313725,1,93,60,0.607843137,0,105,48,0.68627451,0,30.3213,-97.7215,100,Trish,https://www.airbnb.com/rooms/12549235,Urban Tree House,2,100,Guest suite,Entire home/apt,153,3,31,
12928714,2,,1,1,2,,1,1,1,1,0.5,0,2,,1,1,30.2608,-97.7736,100,Pam,https://www.airbnb.com/rooms/12928714,Barton Springs/Zilker Park condo,3,160,Condominium,Entire home/apt,2,2,9,
13481212,30,22,0.576923077,0,39,13,0.75,1,31,21,0.596153846,0,33,19,0.634615385,0,30.2684,-97.7125,100,Andrew,https://www.airbnb.com/rooms/13481212,Like a hotel! Private suite in trendy East Austin!,2,64,House,Private room,53,2,30,
13714102,2,2,0.5,0,3,1,0.75,1,2,2,0.5,0,2,2,0.5,0,30.1918,-97.8404,95,Angelica,https://www.airbnb.com/rooms/13714102,South Austin Terrific Townhome,4,90,Townhouse,Entire home/apt,4,1,3,
17839504,7,11,0.388888889,0,16,2,0.888888889,1,16,2,0.888888889,1,16,2,0.888888889,1,30.262,-97.7187,100,Anlo,https://www.airbnb.com/rooms/17839504,Urban Glamping,4,83,Tent,Private room,20,2,1125,
18193399,38,41,0.481012658,0,66,13,0.835443038,1,53,26,0.670886076,0,59,20,0.746835443,1,30.3403,-97.7222,98,Vanita,https://www.airbnb.com/rooms/18193399,The Treehouse at Big Blue,2,28,Guest suite,Private room,82,2,30,
18508388,52,57,0.47706422,0,92,17,0.844036697,1,71,38,0.651376147,0,73,36,0.669724771,0,30.3338,-97.6492,99,Domenico,https://www.airbnb.com/rooms/18508388,Casa Italia,2,40,Guest suite,Entire home/apt,109,1,10,
18707194,4,5,0.444444444,0,8,1,0.888888889,1,4,5,0.444444444,0,5,4,0.555555556,0,30.1613,-97.7354,98,Andrea,https://www.airbnb.com/rooms/18707194,Blue Sky Room 4,1,35,House,Private room,9,30,365,
19968642,2,2,0.5,0,3,1,0.75,1,2,2,0.5,0,3,1,0.75,1,30.2978,-97.7891,100,Michael,https://www.airbnb.com/rooms/19968642,Beautiful Luxury Home on Lake Austin waterfront,8,950,House,Entire home/apt,5,2,1125,
21342999,2,3,0.4,0,2,3,0.4,0,2,3,0.4,0,2,3,0.4,0,30.2838,-97.7479,64,Abdullah,https://www.airbnb.com/rooms/21342999,Kashmir House | 2x1 apartment,6,350,Apartment,Entire home/apt,5,1,20,
